comedian,published_at,dislike_count,url,id,comment_count,title,view_count,like_count
Amy Schumer,2016-06-21T18:49:57Z,680,https://www.youtube.com/watch?v=4B0YACf3eVs,4B0YACf3eVs,430,Inside Amy Schumer - Amy's Pussy Obsession,373363,2639
Amy Schumer,2016-06-14T18:37:16Z,1339,https://www.youtube.com/watch?v=Po9jYba5HP0,Po9jYba5HP0,579,Inside Amy Schumer - Gyno,584391,2932
Amy Schumer,2016-06-09T17:11:31Z,517,https://www.youtube.com/watch?v=N2Vz3PcS2mM,N2Vz3PcS2mM,471,Inside Amy Schumer - Sitcom,404077,3083
Amy Schumer,2016-06-08T21:51:15Z,525,https://www.youtube.com/watch?v=DgqlzYWz98A,DgqlzYWz98A,197,"Inside Amy Schumer - ""The Knick"" Jr.",200777,1393
Amy Schumer,2016-06-01T17:44:06Z,615,https://www.youtube.com/watch?v=eCIt4farkwI,eCIt4farkwI,459,Inside Amy Schumer - Down to Earth,343014,2928
Amy Schumer,2016-05-17T19:35:37Z,417,https://www.youtube.com/watch?v=tw7xu2pZePw,tw7xu2pZePw,333,Inside Amy Schumer - Size 12,535392,3665
Amy Schumer,2016-05-11T14:14:08Z,621,https://www.youtube.com/watch?v=WjsHqGRwCko,WjsHqGRwCko,306,Inside Amy Schumer - Closer to You,398879,2373
Amy Schumer,2016-05-03T15:53:18Z,1288,https://www.youtube.com/watch?v=W8gs3_Byfoo,W8gs3_Byfoo,1360,Inside Amy Schumer - The Gun Show,470549,5101
Amy Schumer,2016-04-26T20:52:36Z,840,https://www.youtube.com/watch?v=nRMVJcwmF5M,nRMVJcwmF5M,1065,Inside Amy Schumer - Dr. Congress,523919,6075
Amy Schumer,2016-04-14T18:44:12Z,3920,https://www.youtube.com/watch?v=vI6GzvhJqhg,vI6GzvhJqhg,1000,Inside Amy Schumer - When Amy Happens to You,825867,2405
Amy Schumer,2015-07-13T14:49:41Z,196,https://www.youtube.com/watch?v=wjuIP4BPV6E,wjuIP4BPV6E,166,Inside Amy Schumer - Hiker Bones,955497,3114
Amy Schumer,2015-07-13T14:49:26Z,158,https://www.youtube.com/watch?v=oUtfMzC3ldM,oUtfMzC3ldM,168,Inside Amy Schumer - Love Your Smile,891740,3650
Amy Schumer,2015-07-02T17:47:34Z,153,https://www.youtube.com/watch?v=MHCXk48EDq0,MHCXk48EDq0,282,Inside Amy Schumer - Listen Alert,888645,5444
Amy Schumer,2015-06-25T18:30:30Z,106,https://www.youtube.com/watch?v=j5DSSjTeJZE,j5DSSjTeJZE,201,Inside Amy Schumer - Time Travel,846277,5205
Amy Schumer,2015-06-25T16:40:13Z,206,https://www.youtube.com/watch?v=vOIuwNeS-gU,vOIuwNeS-gU,187,Inside Amy Schumer - Princess Amy,1317220,6236
Amy Schumer,2015-06-24T14:19:09Z,231,https://www.youtube.com/watch?v=JKOEfF3M1rk,JKOEfF3M1rk,310,Inside Amy Schumer - Foam,856642,6655
Amy Schumer,2015-06-04T19:21:05Z,237,https://www.youtube.com/watch?v=rrVWsYdYvdk,rrVWsYdYvdk,382,Inside Amy Schumer - Say Fine to the Shirt,1194279,7653
Amy Schumer,2015-06-01T16:36:01Z,292,https://www.youtube.com/watch?v=hRFyZgxBjsc,hRFyZgxBjsc,239,Inside Amy Schumer - Dog Stripper,922055,4724
Amy Schumer,2015-05-27T11:23:05Z,611,https://www.youtube.com/watch?v=1sq4gVZ4cBc,1sq4gVZ4cBc,1105,Inside Amy Schumer - Court of Public Opinion: The Trial of Bill Cosby,2021942,7498
Amy Schumer,2015-05-21T21:31:50Z,797,https://www.youtube.com/watch?v=6eqCaiwmr_M,6eqCaiwmr_M,2584,Inside Amy Schumer - The Universe - Uncensored,2738761,33095
Amy Schumer,2015-05-19T19:02:08Z,185,https://www.youtube.com/watch?v=U68G8up1-qo,U68G8up1-qo,283,Inside Amy Schumer - Doggy Daycare,1411058,5466
